id,name,cid,旧prob_cctcm,新prob_cctcm,旧prob_herb,新prob_herb,旧blood(手填),ccTCM模式,HERB模式,旧值判定,cctcm变化
ccMon00000058,10-姜酚,168115,0.572,0.9312,0.71,0.2657,0.91,B:导师特征,B:HERB库特征,干净,0.3592
ccMon00000041,"1, 2, 3, 4-四氢化萘",8404,0.08,0.1482,0.034,0.0882,0.32,B:导师特征,B:HERB库特征,干净,0.0682
ccMon00000054,"1,4-桉叶素",10106,0.096,0.2011,0.046,0.0462,0.48,B:导师特征,B:HERB库特征,干净,0.1051
ccMon00000073,1-十二烷醇,8193,0.091,0.2325,0.536,0.1029,0.89,B:导师特征,B:HERB库特征,干净,0.1415
ccMon00000096,"2,3,5,6-四甲基吡嗪",,0.76,0.4607,,0.08,0.76,A:SMILES,A:SMILES,回填脏值,-0.2993
ccMon00000101,"2,4-二羟基苯乙酮",6990,0.728,0.8974,0.438,0.2258,0.45,B:导师特征,B:HERB库特征,干净,0.1694
ccMon00000114,2'-乙酰毛蕊花糖苷,21629996,0.736,0.3685,0.4365,0.1822,0.44,B:导师特征,B:HERB库特征,干净,-0.3675
ccMon00000115,2'-脱氧腺苷,,0.38,0.3879,,0.0799,0.38,A:SMILES,A:SMILES,回填脏值,0.0079
ccMon00000137,甲基正壬酮,8163,0.098,0.7161,0.082,0.4307,0.74,B:导师特征,B:HERB库特征,干净,0.6181
ccMon00000161,3-表去氢土莫酸,15225964,0.958,0.9857,0.764,0.8375,0.34,B:导师特征,B:HERB库特征,干净,0.0277
ccMon00000162,3-己烯-1-醇,10993,0.43,0.1619,0.146,0.015,0.43,A:SMILES,B:HERB库特征,回填脏值,-0.2681
ccMon00000187,对羟基苯乙酮,7469,0.674,0.8712,0.686,0.6566,0.54,B:导师特征,B:HERB库特征,干净,0.1972
ccMon00000188,对羟基苯甲酸,135,0.942,0.9825,0.472,0.847,0.69,B:导师特征,B:HERB库特征,干净,0.0405
ccMon00000189,对羟基苯甲醇,125,0.324,0.8879,0.236,0.5986,0.51,B:导师特征,B:HERB库特征,干净,0.5639
ccMon00000212,5-去甲川陈皮素,358832,0.914,0.3275,0.251,0.3288,0.6,B:导师特征,B:HERB库特征,干净,-0.5865
ccMon00000234,8-姜酚,168114,0.816,0.9459,0.33,0.7357,0.69,B:导师特征,B:HERB库特征,干净,0.1299
ccMon00000243,刺槐素（金合欢素）,5280442,0.594,0.9579,0.9033,0.8011,0.43,B:导师特征,B:HERB库特征,干净,0.3639
ccMon00000244,醋酸,176,0.29,0.3667,0.054,0.0427,0.83,B:导师特征,B:HERB库特征,干净,0.0767
ccMon00000246,乙酰紫草素,,0.88,0.4895,,0.0713,0.88,A:SMILES,A:SMILES,回填脏值,-0.3905
ccMon00000251,乌头碱,245005,0.862,0.9682,0.7445,0.7912,0.72,B:导师特征,B:HERB库特征,干净,0.1062
ccMon00000253,毛蕊花糖苷（类叶升麻苷；麦角甾苷）,90474101,0.39,0.63,0.923,0.3294,0.39,A:SMILES,B:HERB库特征,回填脏值,0.24
ccMon00000254,腺嘌呤,,0.85,0.5661,,0.2206,0.85,A:SMILES,A:SMILES,回填脏值,-0.2839
ccMon00000255,腺苷,,0.63,0.6068,,0.1435,0.63,A:SMILES,A:SMILES,回填脏值,-0.0232
ccMon00000257,阿福豆苷,5316673,0.474,0.9728,0.6487,0.4394,0.34,B:导师特征,B:HERB库特征,干净,0.4988
ccMon00000260,穗花牡荆苷,442416,0.568,0.5217,0.6273,0.5192,0.49,B:导师特征,B:HERB库特征,干净,-0.0463
ccMon00000264,白芍苷(芍药内酯苷),24868421,0.914,0.9388,0.852,0.7254,0.65,B:导师特征,B:HERB库特征,干净,0.0248
ccMon00000266,泽泻烯醇,86577299,0.8,0.2142,0.06,0.1679,0.8,A:SMILES,B:HERB库特征,回填脏值,-0.5858
ccMon00000267,环氧泽泻烯,10243299,0.92,0.5734,0.12,0.176,0.92,A:SMILES,B:HERB库特征,回填脏值,-0.3466
ccMon00000269,24-乙酰泽泻醇A,24884081,0.4,0.5747,0.584,0.2284,0.4,A:SMILES,B:HERB库特征,回填脏值,0.1747
ccMon00000271,23-乙酰泽泻醇B,138756747,0.43,0.5243,0.299,0.6907,0.43,A:SMILES,B:HERB库特征,回填脏值,0.0943
ccMon00000275,茜草素,,0.44,0.4876,,0.102,0.44,A:SMILES,A:SMILES,回填脏值,0.0476
ccMon00000277,别香橙烯,91746537,0.35,0.092,0.0,0.0074,0.35,A:SMILES,B:HERB库特征,回填脏值,-0.258
ccMon00000281,芦荟大黄素,,0.58,0.6518,,0.0642,0.58,A:SMILES,A:SMILES,回填脏值,0.0718
ccMon00000289,α-甜没药醇,1616126,0.81,0.1917,0.078,0.1944,0.81,A:SMILES,B:HERB库特征,回填脏值,-0.6183
ccMon00000298,α-香附酮,6452086,0.16,0.7047,0.04,0.3028,0.66,B:导师特征,B:HERB库特征,干净,0.5447
ccMon00000301,α-金合欢烯,,0.7,0.2993,,0.0346,0.7,A:SMILES,A:SMILES,回填脏值,-0.4007
ccMon00000300,α-法尼烯（α-金合欢烯）,5317320,0.52,0.5722,0.066,0.6218,0.52,A:SMILES,B:HERB库特征,回填脏值,0.0522
ccMon00000303,α-三联噻吩甲醛,454742,0.097,0.1761,0.058,0.0887,0.42,B:导师特征,B:HERB库特征,干净,0.0791
ccMon00000306,α-常春藤皂苷,73296,0.578,0.1085,0.3798,0.0571,0.79,B:导师特征,B:HERB库特征,干净,-0.4695
ccMon00000314,α-水芹烯,443160,0.42,0.1137,0.026,0.182,0.42,A:SMILES,B:HERB库特征,回填脏值,-0.3063
ccMon00000315,α-蒎烯,82227,0.48,0.3829,0.036,0.3879,0.48,A:SMILES,B:HERB库特征,回填脏值,-0.0971
ccMon00000317,α-檀香醇,5281531,0.132,0.1314,0.088,0.1338,0.48,B:导师特征,B:HERB库特征,干净,-0.0006
ccMon00000320,"α-松油醇（a,a,4-三甲基-3-环己烯-1-甲醇）",17100,0.046,0.1105,0.036,0.0486,0.79,B:导师特征,B:HERB库特征,干净,0.0645
ccMon00000322,α-三联噻吩,65067,0.065,0.1381,0.108,0.1813,0.87,B:导师特征,B:HERB库特征,干净,0.0731
ccMon00000323,α-三联噻吩甲醇,454740,0.087,0.1997,0.18,0.1141,0.77,B:导师特征,B:HERB库特征,干净,0.1127
ccMon00000328,α-姜烯,92776,0.046,0.1597,0.02,0.0766,0.59,B:导师特征,B:HERB库特征,干净,0.1137
ccMon00000329,山姜素,154279,0.6973,0.4822,0.1613,0.0718,0.79,B:导师特征,B:HERB库特征,干净,-0.2151
ccMon00000331,穗花杉双黄酮,5281600,0.426,0.86,0.3,0.6581,0.45,B:导师特征,B:HERB库特征,干净,0.434
ccMon00000332,苦杏仁苷,656516,0.906,0.9231,0.7643,0.2891,0.56,B:导师特征,B:HERB库特征,干净,0.0171
ccMon00000333,雄甾酮,5879,0.4518,0.3605,0.002,0.084,0.68,B:导师特征,B:HERB库特征,干净,-0.0913
ccMon00000336,白头翁皂苷B4,11636713,0.94,0.3642,0.582,0.0888,0.94,A:SMILES,B:HERB库特征,回填脏值,-0.5758
ccMon00000340,芹菜素,5280443,0.916,0.9796,0.646,0.4303,0.57,B:导师特征,B:HERB库特征,干净,0.0636
ccMon00000343,芹菜苷,5280746,0.852,0.4681,0.321,0.1422,0.64,B:导师特征,B:HERB库特征,干净,-0.3839
ccMon00000346,牛蒡苷元,230232,0.43,0.7299,0.2017,0.2481,0.43,A:SMILES,B:HERB库特征,回填脏值,0.2999
ccMon00000347,牛蒡子苷,100528,0.56,0.8732,0.272,0.6457,0.48,B:导师特征,B:HERB库特征,干净,0.3132
ccMon00000348,芳姜黄烯,3083834,0.03,0.1748,0.08,0.0703,0.33,B:导师特征,B:HERB库特征,干净,0.1448
ccMon00000363,青蒿素,68827,0.398,0.3398,0.296,0.037,0.43,B:导师特征,B:HERB库特征,干净,-0.0582
ccMon00000364,芳姜黄酮,160512,0.072,0.2184,0.134,0.0792,0.93,B:导师特征,B:HERB库特征,干净,0.1464
ccMon00000365,L-细辛脂素,11869417,0.808,0.9423,0.894,0.267,0.56,B:导师特征,B:HERB库特征,干净,0.1343
ccMon00000366,细辛脑（细辛醚）,5281758,0.252,0.8977,0.634,0.5851,0.35,B:导师特征,B:HERB库特征,干净,0.6457
ccMon00000367,抗坏血酸,,0.37,0.3645,,0.0262,0.37,A:SMILES,A:SMILES,回填脏值,-0.0055
ccMon00000374,车叶草苷,84298,0.554,0.8487,0.6,0.6179,0.65,B:导师特征,B:HERB库特征,干净,0.2947
ccMon00000375,车叶草酸,11968867,0.67,0.5783,0.3045,0.2061,0.35,B:导师特征,B:HERB库特征,干净,-0.0917
ccMon00000377,落新妇苷,442437,0.536,0.9918,0.2717,0.8225,0.9,B:导师特征,B:HERB库特征,干净,0.4558
ccMon00000384,白术内酯I,,0.78,0.5587,,0.0267,0.78,A:SMILES,A:SMILES,回填脏值,-0.2213
ccMon00000387,苍术素,5321047,0.056,0.745,0.234,0.4736,0.73,B:导师特征,B:HERB库特征,干净,0.689
ccMon00000390,桃叶珊瑚苷,91458,0.552,0.8894,0.6442,0.6579,0.6,B:导师特征,B:HERB库特征,干净,0.3374
ccMon00000391,橙皮油素(橙皮油内酯、葡萄内酯),1550607,0.7337,0.905,0.076,0.5004,0.33,B:导师特征,B:HERB库特征,干净,0.1713
ccMon00000392,扁蓄苷（广寄生苷）,5321278,0.55,0.5758,0.4198,0.1944,0.55,A:SMILES,B:HERB库特征,回填脏值,0.0258
ccMon00000393,黄芩素,5281605,0.936,0.9404,0.844,0.7688,0.58,B:导师特征,B:HERB库特征,干净,0.0044
ccMon00000394,黄芩苷,64982,0.8,0.9739,0.9344,0.6471,0.55,B:导师特征,B:HERB库特征,干净,0.1739
ccMon00000396,补骨脂酚,5468522,0.102,0.8222,0.154,0.372,0.44,B:导师特征,B:HERB库特征,干净,0.7202
ccMon00000397,宝藿苷 I,5488822,0.686,0.8971,0.4859,0.7072,0.83,B:导师特征,B:HERB库特征,干净,0.2111
ccMon00000399,补骨脂甲素（补骨脂二氢黄酮）,14236566,0.31,0.9619,0.0874,0.5282,0.74,B:导师特征,B:HERB库特征,干净,0.6519
ccMon00000400,补骨脂二氢黄酮甲醚,10337211,0.318,0.9398,0.1466,0.5016,0.49,B:导师特征,B:HERB库特征,干净,0.6218
ccMon00000402,苯丙呋喃,,0.8,0.5333,,0.0382,0.8,A:SMILES,A:SMILES,回填脏值,-0.2667
ccMon00000403,苯甲酸,243,0.924,0.2662,0.912,0.3285,0.55,B:导师特征,B:HERB库特征,干净,-0.6578
ccMon00000405,苯甲酰乌头原碱,60155417,0.49,0.7572,0.1625,0.2867,0.49,A:SMILES,B:HERB库特征,回填脏值,0.2672
ccMon00000406,苯甲酰次乌头原碱,78358535,0.878,0.9848,0.73,0.4917,0.37,B:导师特征,B:HERB库特征,干净,0.1068
ccMon00000407,苯甲酰新乌头原碱,122173204,0.49,0.7561,0.1733,0.4771,0.49,A:SMILES,B:HERB库特征,回填脏值,0.2661
ccMon00000411,苄基丙酮,17355,0.294,0.1662,0.388,0.188,0.6,B:导师特征,B:HERB库特征,干净,-0.1278
ccMon00000409,安息香酸苄酯（苯甲酸苄酯）,2345,0.52,0.8237,0.144,0.4801,0.32,B:导师特征,B:HERB库特征,干净,0.3037
ccMon00000410,肉桂酸苄酯,5273469,0.4465,0.4553,0.284,0.1078,0.84,B:导师特征,B:HERB库特征,干净,0.0088
ccMon00000412,小檗碱,2353,0.866,0.9739,0.546,0.5164,0.81,B:导师特征,B:HERB库特征,干净,0.1079
ccMon00000413,香柑内酯(佛手柑内酯),2355,0.63,0.9772,0.28,0.8246,0.51,B:导师特征,B:HERB库特征,干净,0.3472
ccMon00000417,β-红没药烯,10104370,0.038,0.1837,0.02,0.0896,0.72,B:导师特征,B:HERB库特征,干净,0.1457
ccMon00000420,β-石竹烯(β-律草烯),5281522,0.01,0.0423,0.004,0.0291,0.85,B:导师特征,B:HERB库特征,干净,0.0323
ccMon00000428,β-榄香烯,6431152,0.66,0.5017,0.01,0.1742,0.66,A:SMILES,B:HERB库特征,回填脏值,-0.1583
ccMon00000429,β-榄香酮酸,15559099,0.36,0.2809,0.072,0.0435,0.36,A:SMILES,B:HERB库特征,回填脏值,-0.0791
ccMon00000430,β-桉叶醇,5317270,0.076,0.0971,0.06,0.1558,0.93,B:导师特征,B:HERB库特征,干净,0.0211
ccMon00000434,甜菜碱,247,0.438,0.8105,0.252,0.4965,0.41,B:导师特征,B:HERB库特征,干净,0.3725
ccMon00000436,β-月桂烯,,0.42,0.3419,,0.0698,0.42,A:SMILES,A:SMILES,回填脏值,-0.0781
ccMon00000435,β-香叶烯（β-月桂烯）,31253,0.048,0.764,0.032,0.4969,0.36,B:导师特征,B:HERB库特征,干净,0.716
ccMon00000439,β-广藿香烯,91746471,0.024,0.1034,0.03,0.1891,0.79,B:导师特征,B:HERB库特征,干净,0.0794
ccMon00000440,β-水芹烯,442484,0.65,0.1806,0.056,0.0665,0.65,A:SMILES,B:HERB库特征,回填脏值,-0.4694
ccMon00000441,β-蒎烯,440967,0.038,0.2074,0.038,0.4019,0.84,B:导师特征,B:HERB库特征,干净,0.1694
ccMon00000443,β-檀香醇,6857681,0.142,0.1765,0.064,0.1029,0.91,B:导师特征,B:HERB库特征,干净,0.0345
ccMon00000444,β-蛇床烯（β-芹子烯）,442393,0.008,0.1407,0.012,0.0769,0.6,B:导师特征,B:HERB库特征,干净,0.1327
ccMon00000445,β-倍半水芹烯,519764,0.48,0.4279,0.02,0.0595,0.48,A:SMILES,B:HERB库特征,回填脏值,-0.0521
ccMon00000449,桦木醇（白桦脂醇）,72326,0.446,0.8572,0.204,0.1238,0.3,B:导师特征,B:HERB库特征,干净,0.4112
ccMon00000450,白桦脂酸,485711,0.4588,0.3789,0.262,0.1716,0.36,B:导师特征,B:HERB库特征,干净,-0.0799
ccMon00000453,双环大牛儿烯,13894537,0.002,0.0561,0.064,0.1255,0.53,B:导师特征,B:HERB库特征,干净,0.0541
ccMon00000454,游离胆红素,,0.43,0.4297,,0.0191,0.43,A:SMILES,A:SMILES,回填脏值,-0.0003
ccMon00000456,甜没药萜醇（红没药醇）,1616126,0.38,0.1917,0.078,0.1944,0.38,A:SMILES,B:HERB库特征,回填脏值,-0.1883
ccMon00000459,双去甲氧基姜黄素,5315472,0.7267,0.6077,0.344,0.6327,0.63,B:导师特征,B:HERB库特征,干净,-0.119
ccMon00000461,波尔定碱,10154,0.796,0.512,0.528,0.2508,0.69,B:导师特征,B:HERB库特征,干净,-0.284
ccMon00000462,龙脑（冰片）,6973640,0.79,0.3312,0.068,0.2983,0.79,A:SMILES,B:HERB库特征,回填脏值,-0.4588
ccMon00000468,鸦胆子苦醇,,0.77,0.3039,,0.0045,0.77,A:SMILES,A:SMILES,回填脏值,-0.4661
ccMon00000469,二丁基羟基甲苯,,0.51,0.3042,,0.1241,0.51,A:SMILES,A:SMILES,回填脏值,-0.2058
ccMon00000470,3-正丁烯基苯酞,642376,0.768,0.8009,0.876,0.6362,0.31,B:导师特征,B:HERB库特征,干净,0.0329
ccMon00000472,尸胺,273,0.408,0.2329,0.072,0.0491,0.33,B:导师特征,B:HERB库特征,干净,-0.1751
ccMon00000474,咖啡酸,689043,0.942,0.9773,0.876,0.769,0.9,B:导师特征,B:HERB库特征,干净,0.0353
ccMon00000478,钙,,0.68,0.5817,,0.076,0.68,A:SMILES,A:SMILES,回填脏值,-0.0983
ccMon00000481,"毛蕊异黄酮（7, 3'-二羟基-4'-甲氧基异黄酮）",5280448,0.908,0.9769,0.9,0.8129,0.65,B:导师特征,B:HERB库特征,干净,0.0689
ccMon00000484,莰烯（樟脑萜）,92221,0.82,0.4194,0.034,0.4245,0.82,A:SMILES,B:HERB库特征,回填脏值,-0.4006
ccMon00000485,樟脑,444294,0.46,0.4406,0.066,0.507,0.46,A:SMILES,B:HERB库特征,回填脏值,-0.0194
ccMon00000489,羧基苍术苷,20055804,0.558,0.315,0.292,0.0343,0.62,B:导师特征,B:HERB库特征,干净,-0.243
ccMon00000490,小豆蔻明,641785,0.5784,0.5788,0.54,0.3157,0.74,B:导师特征,B:HERB库特征,干净,0.0004
ccMon00000492,香芹酚,10364,0.102,0.2571,0.254,0.2662,0.31,B:导师特征,B:HERB库特征,干净,0.1551
ccMon00000491,香芹酚（2-甲基-5-（1-甲乙基）酚）,10364,0.102,0.2571,0.254,0.2662,0.9,B:导师特征,B:HERB库特征,干净,0.1551
ccMon00000493,香芹酮,,0.58,0.1462,,0.0818,0.58,A:SMILES,A:SMILES,回填脏值,-0.4338
ccMon00000494,石竹烯（丁子香烯）,5281522,0.01,0.0423,0.004,0.0291,0.43,B:导师特征,B:HERB库特征,干净,0.0323
ccMon00000496,氧化石竹烯,11908458,0.79,0.1463,0.112,0.0399,0.79,A:SMILES,B:HERB库特征,回填脏值,-0.6437
ccMon00000495,石竹烯氧化物（石竹素）,11908458,0.58,0.1463,0.112,0.0399,0.58,A:SMILES,B:HERB库特征,回填脏值,-0.4337
ccMon00000497,紫花牡荆素,5315263,0.788,0.1842,0.13,0.1721,0.42,B:导师特征,B:HERB库特征,干净,-0.6038
ccMon00000498,梓醇,91520,0.43,0.794,0.796,0.6983,0.76,B:导师特征,B:HERB库特征,干净,0.364
ccMon00000499,儿茶素,72276,0.514,0.9566,0.229,0.172,0.83,B:导师特征,B:HERB库特征,干净,0.4426
ccMon00000502,雪松醇,6572608,0.61,0.1724,0.052,0.1698,0.61,A:SMILES,B:HERB库特征,回填脏值,-0.4376
ccMon00000501,雪松醇（柏木脑）,6572608,0.58,0.1724,0.052,0.1698,0.58,A:SMILES,B:HERB库特征,回填脏值,-0.4076
ccMon00000504,诃子鞣酸(诃黎勒酸),,0.51,0.3239,,0.0082,0.51,A:SMILES,A:SMILES,回填脏值,-0.1861
ccMon00000505,诃子次酸,,0.38,0.4592,,0.0499,0.38,A:SMILES,A:SMILES,回填脏值,0.0792
ccMon00000506,鹅去氧胆酸,31401,0.48,0.6707,0.088,0.6677,0.48,A:SMILES,B:HERB库特征,回填脏值,0.1907
ccMon00000508,绿原酸,12310830,0.63,0.7664,0.9415,0.7882,0.63,A:SMILES,B:HERB库特征,回填脏值,0.1364
ccMon00000509,胆甾醇,5997,0.1653,0.7356,0.17,0.2802,0.75,B:导师特征,B:HERB库特征,干净,0.5703
ccMon00000510,胆酸,221493,0.67,0.9714,0.1613,0.8081,0.94,B:导师特征,B:HERB库特征,干净,0.3014
ccMon00000512,白杨素,5281607,0.854,0.9595,0.381,0.7637,0.35,B:导师特征,B:HERB库特征,干净,0.1055
ccMon00000513,金圣草素,5280666,0.624,0.594,0.583,0.768,0.76,B:导师特征,B:HERB库特征,干净,-0.03
ccMon00000514,大黄酚,10208,0.512,0.9186,0.82,0.3988,0.42,B:导师特征,B:HERB库特征,干净,0.4066
ccMon00000516,猫眼草黄素,5281608,0.792,0.1616,0.586,0.2045,0.52,B:导师特征,B:HERB库特征,干净,-0.6304
ccMon00000517,菊苣酸,5470299,0.46,0.6001,0.6267,0.369,0.46,A:SMILES,B:HERB库特征,回填脏值,0.1401
ccMon00000522,肉桂酸,444539,0.9467,0.4246,0.824,0.2341,0.32,B:导师特征,B:HERB库特征,干净,-0.5221
ccMon00000523,桂皮醛（肉桂醛）,6428995,0.57,0.5556,0.306,0.7842,0.57,A:SMILES,B:HERB库特征,回填脏值,-0.0144
ccMon00000525,甲基条叶蓟素（3'-甲氧基蓟黄素）,162464,0.716,0.3956,0.1823,0.1758,0.33,B:导师特征,B:HERB库特征,干净,-0.3204
ccMon00000526,"线蓟素（5,3',4'-三羟基-6,7-二甲氧基黄酮）",160237,0.792,0.4498,0.4035,0.171,0.45,B:导师特征,B:HERB库特征,干净,-0.3422
ccMon00000527,蓟黄素,188323,0.903,0.8541,0.788,0.7016,0.6,B:导师特征,B:HERB库特征,干净,-0.0489
ccMon00000530,顺式细辛醚（β-细辛脑）,5281758,0.252,0.8977,0.634,0.5851,0.41,B:导师特征,B:HERB库特征,干净,0.6457
ccMon00000539,"柠檬醛（3,7-二甲基-2,6-辛二烯醛）",638011,0.024,0.133,0.118,0.1494,0.45,B:导师特征,B:HERB库特征,干净,0.109
ccMon00000540,柠檬酸(枸橼酸),311,0.814,0.8972,0.784,0.5502,0.55,B:导师特征,B:HERB库特征,干净,0.0832
ccMon00000541,香茅醛,75427,0.62,0.1312,0.084,0.0219,0.62,A:SMILES,B:HERB库特征,回填脏值,-0.4888
ccMon00000543,蛇床酞内酯,5018391,0.88,0.62,0.546,0.5831,0.88,A:SMILES,B:HERB库特征,回填脏值,-0.26
ccMon00000546,乌药碱,281691,0.31,0.6804,0.6,0.4568,0.31,A:SMILES,B:HERB库特征,回填脏值,0.3704
ccMon00000547,可待因,5284371,0.626,0.9273,0.214,0.6814,0.73,B:导师特征,B:HERB库特征,干净,0.3013
ccMon00000549,"贝母兰宁(2,7-二羟基-4-甲氧基-9,10-二氢菲)",11390848,0.598,0.5212,0.1459,0.0641,0.71,B:导师特征,B:HERB库特征,干净,-0.0768
ccMon00000550,秋水仙碱,2833,0.68,0.5432,0.253,0.0529,0.68,A:SMILES,B:HERB库特征,回填脏值,-0.1368
ccMon00000551,非洲防己碱,72310,0.892,0.9515,0.305,0.8268,0.64,B:导师特征,B:HERB库特征,干净,0.0595
ccMon00000552,二氢欧山芹醇当归酸酯,6436246,0.6293,0.911,0.106,0.4643,0.41,B:导师特征,B:HERB库特征,干净,0.2817
ccMon00000553,二氢欧山芹素,150888,0.43,0.7697,0.03,0.411,0.43,A:SMILES,B:HERB库特征,回填脏值,0.3397
ccMon00000559,黄连碱,72322,0.448,0.9271,0.298,0.8681,0.75,B:导师特征,B:HERB库特征,干净,0.4791
ccMon00000560,柯里拉京,10077799,0.9,0.382,0.318,0.1003,0.9,A:SMILES,B:HERB库特征,回填脏值,-0.518
ccMon00000563,科罗索酸(2α-羟基熊果酸),6918774,0.49,0.4612,0.1656,0.1126,0.35,B:导师特征,B:HERB库特征,干净,-0.0288
ccMon00000565,补骨脂宁,5316097,0.408,0.8392,0.01,0.3561,0.69,B:导师特征,B:HERB库特征,干净,0.4312
ccMon00000567,柯诺辛,5281408,0.916,0.9274,0.866,0.6936,0.55,B:导师特征,B:HERB库特征,干净,0.0114
ccMon00000568,柯诺辛B,5281408,0.916,0.9274,0.866,0.6936,0.56,B:导师特征,B:HERB库特征,干净,0.0114
ccMon00000572,列当苷,44593361,0.572,0.5049,0.6967,0.266,0.67,B:导师特征,B:HERB库特征,干净,-0.0671
ccMon00000573,西红花酸（藏红花酸）,5281232,0.878,0.8185,0.776,0.4117,0.66,B:导师特征,B:HERB库特征,干净,-0.0595
ccMon00000581,隐丹参酮,,0.39,0.6488,,0.0665,0.39,A:SMILES,A:SMILES,回填脏值,0.2588
ccMon00000582,葫芦素B,5352014,0.8,0.3894,0.04,0.025,0.8,A:SMILES,B:HERB库特征,回填脏值,-0.4106
ccMon00000588,姜黄素,6604598,0.39,0.7726,0.574,0.6106,0.39,A:SMILES,B:HERB库特征,回填脏值,0.3826
ccMon00000589,莪术醇,14240392,0.2518,0.1138,0.302,0.0354,0.44,B:导师特征,B:HERB库特征,干净,-0.138
ccMon00000599,杯苋甾酮,,0.87,0.3814,,0.0127,0.87,A:SMILES,A:SMILES,回填脏值,-0.4886
ccMon00000602,环十二烷,9268,0.1027,0.1064,0.016,0.0699,0.9,B:导师特征,B:HERB库特征,干净,0.0037
ccMon00000609,"洋蓟素（1,3-二咖啡酰奎宁酸）",5281769,0.918,0.6744,0.992,0.1001,0.74,B:导师特征,B:HERB库特征,干净,-0.2436
ccMon00000612,胞苷,,0.31,0.5546,,0.1682,0.31,A:SMILES,A:SMILES,回填脏值,0.2446
ccMon00000613,金雀花碱,10235,0.338,0.9043,0.264,0.1872,0.86,B:导师特征,B:HERB库特征,干净,0.5663
ccMon00000614,胞嘧啶,,0.36,0.5933,,0.201,0.36,A:SMILES,A:SMILES,回填脏值,0.2333
ccMon00000616,大豆素,5281708,0.782,0.9783,0.427,0.8143,0.37,B:导师特征,B:HERB库特征,干净,0.1963
ccMon00000617,大豆苷,107971,0.96,0.9695,0.816,0.8146,0.86,B:导师特征,B:HERB库特征,干净,0.0095
ccMon00000626,癸醛,8175,0.14,0.33,0.12,0.0834,0.87,B:导师特征,B:HERB库特征,干净,0.19
ccMon00000627,葵烷,,0.82,0.2103,,0.1246,0.82,A:SMILES,A:SMILES,回填脏值,-0.6097
ccMon00000628,癸酸,2969,0.6388,0.6224,0.132,0.1446,0.66,B:导师特征,B:HERB库特征,干净,-0.0164
ccMon00000631,去氢木香内酯,73174,0.428,0.1991,0.218,0.0638,0.7,B:导师特征,B:HERB库特征,干净,-0.2289
ccMon00000632,去氢吴茱萸碱,9817839,0.4253,0.8712,0.022,0.5643,0.38,B:导师特征,B:HERB库特征,干净,0.4459
ccMon00000634,去氢茯苓酸,15226717,0.902,0.9522,0.794,0.9124,0.39,B:导师特征,B:HERB库特征,干净,0.0502
ccMon00000635,松苓新酸,12133286,0.37,0.5106,0.104,0.0815,0.37,A:SMILES,B:HERB库特征,回填脏值,0.1406
ccMon00000636,去氢土莫酸,15225964,0.958,0.9857,0.764,0.8375,0.92,B:导师特征,B:HERB库特征,干净,0.0277
ccMon00000642,去甲氧基姜黄素,5469424,0.716,0.9265,0.1,0.5151,0.34,B:导师特征,B:HERB库特征,干净,0.2105
ccMon00000646,去氧胆酸,222528,0.57,0.9113,0.274,0.815,0.75,B:导师特征,B:HERB库特征,干净,0.3413
ccMon00000647,去氧紫草素,,0.46,0.5181,,0.0932,0.46,A:SMILES,A:SMILES,回填脏值,0.0581
ccMon00000649,邻苯二甲酸二丁酯,3026,0.398,0.8089,0.628,0.2042,0.55,B:导师特征,B:HERB库特征,干净,0.4109
ccMon00000651,丁香素（双羟香豆素）,,0.51,0.5019,,0.2157,0.51,A:SMILES,A:SMILES,回填脏值,-0.0081
ccMon00000654,香蜂草苷,102464035,0.39,0.6128,0.4152,0.2727,0.39,A:SMILES,B:HERB库特征,回填脏值,0.2228
ccMon00000655,dihydroactinidiolide,27209,0.462,0.3328,0.056,0.0231,0.45,B:导师特征,B:HERB库特征,干净,-0.1292
ccMon00000658,二氢丹参酮Ⅰ,,0.46,0.6134,,0.168,0.46,A:SMILES,A:SMILES,回填脏值,0.1534
ccMon00000660,邻苯二甲酸二异丁酯,6782,0.325,0.1273,0.32,0.1742,0.94,B:导师特征,B:HERB库特征,干净,-0.1977
ccMon00000661,薯蓣皂苷,16072386,0.88,0.5616,0.2265,0.3548,0.88,A:SMILES,B:HERB库特征,回填脏值,-0.3184
ccMon00000663,香叶木素,5281612,0.62,0.8919,0.669,0.7755,0.73,B:导师特征,B:HERB库特征,干净,0.2719
ccMon00000665,香叶木苷,5281613,0.598,0.3819,0.5131,0.1622,0.77,B:导师特征,B:HERB库特征,干净,-0.2161
ccMon00000673,月桂酸,3893,0.826,0.8921,0.832,0.2005,0.83,B:导师特征,B:HERB库特征,干净,0.0661
ccMon00000674,多巴胺,681,0.598,0.4798,0.442,0.1919,0.93,B:导师特征,B:HERB库特征,干净,-0.1182
ccMon00000677,松果菊苷,11953944,0.95,0.6177,0.696,0.3057,0.95,A:SMILES,B:HERB库特征,回填脏值,-0.3323
ccMon00000678,刺甘草查尔酮,6442675,0.876,0.9486,0.502,0.7435,0.67,B:导师特征,B:HERB库特征,干净,0.0726
ccMon00000679,刺囊酸,476486,0.75,0.4057,0.237,0.0672,0.75,A:SMILES,B:HERB库特征,回填脏值,-0.3443
ccMon00000682,榄香素,10248,0.258,0.8278,0.084,0.5472,0.46,B:导师特征,B:HERB库特征,干净,0.5698
