id,name,cid,旧prob_cctcm,新prob_cctcm,旧prob_herb,新prob_herb,旧blood(手填),ccTCM模式,HERB模式,旧值判定,cctcm变化
ccMon00001109,川陈皮素,72344,0.911,0.9684,0.878,0.2717,0.32,B:导师特征,B:HERB库特征,干净,0.0574
ccMon00001112,紫花前胡苷,73191,0.666,0.3856,0.471,0.5591,0.8,B:导师特征,B:HERB库特征,干净,-0.2804
ccMon00001113,二十九烷,12409,0.156,0.96,0.002,0.2305,0.85,B:导师特征,B:HERB库特征,干净,0.804
ccMon00001116,圆柚酮（努特卡酮）,,0.63,0.1659,,0.0295,0.63,A:SMILES,A:SMILES,回填脏值,-0.4641
ccMon00001119,去甲异波尔定,,0.83,0.4648,,0.0467,0.83,A:SMILES,A:SMILES,回填脏值,-0.3652
ccMon00001123,那可丁（诺司卡品）,275196,0.798,0.6687,0.45,0.4358,0.91,B:导师特征,B:HERB库特征,干净,-0.1293
ccMon00001124,三七皂苷R1,441934,0.936,0.9895,0.674,0.8709,0.54,B:导师特征,B:HERB库特征,干净,0.0535
ccMon00001126,羌活醇,5320227,0.508,0.9096,0.154,0.68,0.4,B:导师特征,B:HERB库特征,干净,0.4016
ccMon00001132,黄柏酮,119041,0.888,0.8951,0.248,0.7076,0.65,B:导师特征,B:HERB库特征,干净,0.0071
ccMon00001135,正辛酸,379,0.574,0.5954,0.148,0.3392,0.62,B:导师特征,B:HERB库特征,干净,0.0214
ccMon00001137,乙酸辛酯,8164,0.2288,0.2507,0.112,0.1552,0.9,B:导师特征,B:HERB库特征,干净,0.0219
ccMon00001141,橄榄苦苷,5281544,0.632,0.4526,0.519,0.214,0.43,B:导师特征,B:HERB库特征,干净,-0.1794
ccMon00001145,刺芒柄花苷,442813,0.934,0.9574,0.632,0.5584,0.34,B:导师特征,B:HERB库特征,干净,0.0234
ccMon00001148,麦冬皂苷D,46173859,0.682,0.6026,0.1907,0.5228,0.34,B:导师特征,B:HERB库特征,干净,-0.0794
ccMon00001151,荭草苷,5281675,0.774,0.9454,0.693,0.7244,0.61,B:导师特征,B:HERB库特征,干净,0.1714
ccMon00001154,蛇床子素,10228,0.6718,0.9339,0.208,0.6906,0.66,B:导师特征,B:HERB库特征,干净,0.2621
ccMon00001155,草酸,971,0.51,0.4543,0.062,0.0383,0.6,B:导师特征,B:HERB库特征,干净,-0.0557
ccMon00001158,氧化苦参碱,114850,0.4,0.8841,0.148,0.7828,0.7,B:导师特征,B:HERB库特征,干净,0.4841
ccMon00001159,oxypaeonidanin,,0.64,0.5693,,0.1263,0.64,A:SMILES,A:SMILES,回填脏值,-0.0707
ccMon00001161,氧化前胡素,33306,0.49,0.7458,0.145,0.3184,0.49,A:SMILES,B:HERB库特征,回填脏值,0.2558
ccMon00001163,氧化白藜芦醇,5281717,0.588,0.9309,0.572,0.6988,0.32,B:导师特征,B:HERB库特征,干净,0.3429
ccMon00001164,氧化槐果碱,24721085,0.394,0.8659,0.044,0.4349,0.69,B:导师特征,B:HERB库特征,干净,0.4719
ccMon00001165,茯苓酸,5484385,0.844,0.8767,0.726,0.4039,0.92,B:导师特征,B:HERB库特征,干净,0.0327
ccMon00001166,藿香黄酮醇,5281677,0.672,0.2616,0.4287,0.0621,0.5,B:导师特征,B:HERB库特征,干净,-0.4104
ccMon00001167,芍药苷,70697913,0.87,0.7909,0.685,0.4548,0.87,A:SMILES,B:HERB库特征,回填脏值,-0.0791
ccMon00001169,丹皮酚（牡丹酚）,11092,0.832,0.8732,0.298,0.4069,0.66,B:导师特征,B:HERB库特征,干净,0.0412
ccMon00001170,巴马汀,,0.83,0.3699,,0.0269,0.83,A:SMILES,A:SMILES,回填脏值,-0.4601
